epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-26,56,RO,Alta Floresta D'Oeste,1100015,city,82,357.37633,0,0,0,0.0,22945,False,True
26,2020-06-26,54,RO,Alto Alegre dos Parecis,1100379,city,33,249.22589,0,1,0,0.0303,13241,False,True
26,2020-06-26,70,RO,Alto Paraíso,1100403,city,50,233.33956,0,3,0,0.06,21428,False,True
26,2020-06-26,52,RO,Alvorada D'Oeste,1100346,city,13,90.20887,0,1,0,0.0769,14411,False,True
26,2020-06-26,78,RO,Ariquemes,1100023,city,1095,1015.17666,0,20,0,0.0183,107863,False,True
26,2020-06-26,72,RO,Buritis,1100452,city,98,247.13774,0,2,0,0.0204,39654,False,True
26,2020-06-26,56,RO,Cabixi,1100031,city,3,56.4759,0,0,0,0.0,5312,False,True
26,2020-06-26,46,RO,Cacaulândia,1100601,city,14,224.7191,0,0,0,0.0,6230,False,True
26,2020-06-26,58,RO,Cacoal,1100049,city,240,281.16543,0,2,0,0.0083,85359,False,True
26,2020-06-26,56,RO,Campo Novo de Rondônia,1100700,city,35,247.54226,0,2,0,0.0571,14139,False,True
26,2020-06-26,62,RO,Candeias do Jamari,1100809,city,427,1599.67033,0,9,0,0.0211,26693,False,True
26,2020-06-26,16,RO,Castanheiras,1100908,city,16,524.2464,0,0,0,0.0,3052,False,True
26,2020-06-26,36,RO,Cerejeiras,1100056,city,26,159.28445,0,2,0,0.0769,16323,False,True
26,2020-06-26,24,RO,Chupinguaia,1100924,city,12,107.31533,0,0,0,0.0,11182,False,True
26,2020-06-26,21,RO,Colorado do Oeste,1100064,city,32,201.48596,0,0,0,0.0,15882,False,True
26,2020-06-26,21,RO,Corumbiara,1100072,city,4,54.11988,0,0,0,0.0,7391,False,True
26,2020-06-26,34,RO,Costa Marques,1100080,city,22,120.01527,0,0,0,0.0,18331,False,True
26,2020-06-26,59,RO,Cujubim,1100940,city,68,269.68075,0,1,0,0.0147,25215,False,True
26,2020-06-26,57,RO,Espigão D'Oeste,1100098,city,46,142.08933,0,2,0,0.0435,32374,False,True
26,2020-06-26,58,RO,Governador Jorge Teixeira,1101005,city,26,334.74958,0,0,0,0.0,7767,False,True
26,2020-06-26,58,RO,Guajará-Mirim,1100106,city,1087,2354.13869,0,42,0,0.0386,46174,False,True
26,2020-06-26,64,RO,Importados/Indefinidos,,city,0,,0,0,0,0.0,,False,True
26,2020-06-26,61,RO,Itapuã do Oeste,1101104,city,95,908.39549,0,0,0,0.0,10458,False,True
26,2020-06-26,89,RO,Jaru,1100114,city,385,743.60212,0,5,0,0.013,51775,False,True
26,2020-06-26,99,RO,Ji-Paraná,1100122,city,374,289.99217,0,9,0,0.0241,128969,False,True
26,2020-06-26,54,RO,Machadinho D'Oeste,1100130,city,61,152.53432,0,1,0,0.0164,39991,False,True
26,2020-06-26,35,RO,Ministro Andreazza,1101203,city,2,20.70393,0,0,0,0.0,9660,False,True
26,2020-06-26,55,RO,Mirante da Serra,1101302,city,51,465.88106,0,2,0,0.0392,10947,False,True
26,2020-06-26,52,RO,Monte Negro,1101401,city,51,321.72597,0,1,0,0.0196,15852,False,True
26,2020-06-26,52,RO,Nova Brasilândia D'Oeste,1100148,city,11,53.72668,0,0,0,0.0,20474,False,True
26,2020-06-26,46,RO,Nova Mamoré,1100338,city,162,529.70605,0,5,0,0.0309,30583,False,True
26,2020-06-26,31,RO,Nova União,1101435,city,40,573.88809,0,0,0,0.0,6970,False,True
26,2020-06-26,58,RO,Novo Horizonte do Oeste,1100502,city,16,187.39752,0,1,0,0.0625,8538,False,True
26,2020-06-26,80,RO,Ouro Preto do Oeste,1100155,city,162,449.56292,0,3,0,0.0185,36035,False,True
26,2020-06-26,5,RO,Parecis,1101450,city,1,16.46362,0,0,0,0.0,6074,False,True
26,2020-06-26,67,RO,Pimenta Bueno,1100189,city,136,370.97654,0,3,0,0.0221,36660,False,True
26,2020-06-26,33,RO,Pimenteiras do Oeste,1101468,city,24,1106.50069,0,0,0,0.0,2169,False,True
26,2020-06-26,98,RO,Porto Velho,1100205,city,10893,2057.05286,0,324,0,0.0297,529544,False,True
26,2020-06-26,46,RO,Presidente Médici,1100254,city,13,68.47151,0,0,0,0.0,18986,False,True
26,2020-06-26,57,RO,Primavera de Rondônia,1101476,city,5,175.07003,0,0,0,0.0,2856,False,True
26,2020-06-26,41,RO,Rio Crespo,1100262,city,11,292.2423,0,0,0,0.0,3764,False,True
26,2020-06-26,83,RO,Rolim de Moura,1100288,city,259,470.41302,0,2,0,0.0077,55058,False,True
26,2020-06-26,43,RO,Santa Luzia D'Oeste,1100296,city,11,169.36105,0,0,0,0.0,6495,False,True
26,2020-06-26,50,RO,São Felipe D'Oeste,1101484,city,11,212.68368,0,0,0,0.0,5172,False,True
26,2020-06-26,39,RO,São Francisco do Guaporé,1101492,city,37,182.5718,0,1,0,0.027,20266,False,True
26,2020-06-26,46,RO,São Miguel do Guaporé,1100320,city,698,3034.12302,0,7,0,0.01,23005,False,True
26,2020-06-26,38,RO,Seringueiras,1101500,city,26,219.29825,0,0,0,0.0,11856,False,True
26,2020-06-26,21,RO,Teixeirópolis,1101559,city,4,92.85051,0,0,0,0.0,4308,False,True
26,2020-06-26,51,RO,Theobroma,1101609,city,17,162.77288,0,0,0,0.0,10444,False,True
26,2020-06-26,65,RO,Urupá,1101708,city,24,209.29624,0,0,0,0.0,11467,False,True
26,2020-06-26,57,RO,Vale do Anari,1101757,city,32,285.61228,0,0,0,0.0,11204,False,True
26,2020-06-26,39,RO,Vale do Paraíso,1101807,city,15,219.78022,0,0,0,0.0,6825,False,True
26,2020-06-26,83,RO,Vilhena,1100304,city,368,368.53807,0,4,0,0.0109,99854,False,True
26,2020-06-25,55,RO,Alta Floresta D'Oeste,1100015,city,82,357.37633,0,0,0,0.0,22945,False,True
26,2020-06-25,53,RO,Alto Alegre dos Parecis,1100379,city,33,249.22589,0,1,0,0.0303,13241,False,True
26,2020-06-25,69,RO,Alto Paraíso,1100403,city,50,233.33956,0,3,0,0.06,21428,False,True
26,2020-06-25,51,RO,Alvorada D'Oeste,1100346,city,13,90.20887,0,1,0,0.0769,14411,False,True
26,2020-06-25,77,RO,Ariquemes,1100023,city,1095,1015.17666,0,20,0,0.0183,107863,False,True
26,2020-06-25,71,RO,Buritis,1100452,city,98,247.13774,0,2,0,0.0204,39654,False,True
26,2020-06-25,55,RO,Cabixi,1100031,city,3,56.4759,0,0,0,0.0,5312,False,True
26,2020-06-25,45,RO,Cacaulândia,1100601,city,14,224.7191,0,0,0,0.0,6230,False,True
26,2020-06-25,57,RO,Cacoal,1100049,city,240,281.16543,0,2,0,0.0083,85359,False,True
26,2020-06-25,55,RO,Campo Novo de Rondônia,1100700,city,35,247.54226,0,2,0,0.0571,14139,False,True
26,2020-06-25,61,RO,Candeias do Jamari,1100809,city,427,1599.67033,0,9,0,0.0211,26693,False,True
26,2020-06-25,15,RO,Castanheiras,1100908,city,16,524.2464,0,0,0,0.0,3052,False,True
26,2020-06-25,35,RO,Cerejeiras,1100056,city,26,159.28445,0,2,0,0.0769,16323,False,True
26,2020-06-25,23,RO,Chupinguaia,1100924,city,12,107.31533,0,0,0,0.0,11182,False,True
26,2020-06-25,20,RO,Colorado do Oeste,1100064,city,32,201.48596,0,0,0,0.0,15882,False,True
26,2020-06-25,20,RO,Corumbiara,1100072,city,4,54.11988,0,0,0,0.0,7391,False,True
26,2020-06-25,33,RO,Costa Marques,1100080,city,22,120.01527,0,0,0,0.0,18331,False,True
26,2020-06-25,58,RO,Cujubim,1100940,city,68,269.68075,0,1,0,0.0147,25215,False,True
26,2020-06-25,56,RO,Espigão D'Oeste,1100098,city,46,142.08933,0,2,0,0.0435,32374,False,True
26,2020-06-25,57,RO,Governador Jorge Teixeira,1101005,city,26,334.74958,0,0,0,0.0,7767,False,True
26,2020-06-25,57,RO,Guajará-Mirim,1100106,city,1087,2354.13869,0,42,0,0.0386,46174,False,True
26,2020-06-25,63,RO,Importados/Indefinidos,,city,0,,0,0,0,0.0,,False,True
26,2020-06-25,60,RO,Itapuã do Oeste,1101104,city,95,908.39549,0,0,0,0.0,10458,False,True
26,2020-06-25,88,RO,Jaru,1100114,city,385,743.60212,0,5,0,0.013,51775,False,True
26,2020-06-25,98,RO,Ji-Paraná,1100122,city,374,289.99217,0,9,0,0.0241,128969,False,True
26,2020-06-25,53,RO,Machadinho D'Oeste,1100130,city,61,152.53432,0,1,0,0.0164,39991,False,True
26,2020-06-25,34,RO,Ministro Andreazza,1101203,city,2,20.70393,0,0,0,0.0,9660,False,True
26,2020-06-25,54,RO,Mirante da Serra,1101302,city,51,465.88106,0,2,0,0.0392,10947,False,True
26,2020-06-25,51,RO,Monte Negro,1101401,city,51,321.72597,0,1,0,0.0196,15852,False,True
26,2020-06-25,51,RO,Nova Brasilândia D'Oeste,1100148,city,11,53.72668,0,0,0,0.0,20474,False,True
26,2020-06-25,45,RO,Nova Mamoré,1100338,city,162,529.70605,0,5,0,0.0309,30583,False,True
26,2020-06-25,30,RO,Nova União,1101435,city,40,573.88809,0,0,0,0.0,6970,False,True
26,2020-06-25,57,RO,Novo Horizonte do Oeste,1100502,city,16,187.39752,0,1,0,0.0625,8538,False,True
