epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
27,2020-07-01,95,AC,Acrelândia,1200013,city,194,1271.63083,2,3,0,0.0155,15256,True,False
27,2020-07-01,62,AC,Assis Brasil,1200054,city,186,2507.75246,11,5,0,0.0269,7417,True,False
27,2020-07-01,54,AC,Brasiléia,1200104,city,407,1548.82411,63,6,0,0.0147,26278,True,False
27,2020-07-01,85,AC,Bujari,1200138,city,204,1987.14202,23,3,0,0.0147,10266,True,False
27,2020-07-01,55,AC,Capixaba,1200179,city,144,1227.30759,0,5,0,0.0347,11733,True,False
27,2020-07-01,80,AC,Cruzeiro do Sul,1200203,city,2079,2352.44863,30,35,0,0.0168,88376,True,False
27,2020-07-01,56,AC,Epitaciolândia,1200252,city,172,934.22411,15,6,0,0.0349,18411,True,False
27,2020-07-01,61,AC,Feijó,1200302,city,262,753.3065,40,5,0,0.0191,34780,True,False
27,2020-07-01,45,AC,Jordão,1200328,city,39,468.91908,4,0,0,0.0,8317,True,False
27,2020-07-01,64,AC,Mâncio Lima,1200336,city,156,822.04774,20,3,0,0.0192,18977,True,False
27,2020-07-01,50,AC,Manoel Urbano,1200344,city,51,539.16905,2,1,0,0.0196,9459,True,False
27,2020-07-01,51,AC,Marechal Thaumaturgo,1200351,city,162,858.64207,13,1,0,0.0062,18867,True,False
27,2020-07-01,87,AC,Plácido de Castro,1200385,city,295,1492.83943,5,6,0,0.0203,19761,True,False
27,2020-07-01,95,AC,Porto Acre,1200807,city,272,1469.95244,4,6,0,0.0221,18504,True,False
27,2020-07-01,50,AC,Porto Walter,1200393,city,51,425.63846,0,0,0,0.0,11982,True,False
27,2020-07-01,107,AC,Rio Branco,1200401,city,7002,1719.04576,149,263,4,0.0376,407319,True,False
27,2020-07-01,51,AC,Rodrigues Alves,1200427,city,94,496.5663,0,4,0,0.0426,18930,True,False
27,2020-07-01,55,AC,Santa Rosa do Purus,1200435,city,151,2308.8685,2,2,0,0.0132,6540,True,False
27,2020-07-01,74,AC,Senador Guiomard,1200450,city,256,1111.88325,6,6,0,0.0234,23024,True,False
27,2020-07-01,59,AC,Sena Madureira,1200500,city,618,1347.9323,37,3,0,0.0049,45848,True,False
27,2020-07-01,61,AC,Tarauacá,1200609,city,684,1606.87857,30,4,1,0.0058,42567,True,False
27,2020-07-01,64,AC,Xapuri,1200708,city,236,1221.34244,6,3,0,0.0127,19323,True,False
27,2020-07-01,107,AC,,12,state,13715,1555.10327,462,370,5,0.027,881935,True,False
27,2020-07-01,29,AL,Água Branca,2700102,city,27,133.68984,0,0,0,0.0,20196,False,True
27,2020-07-01,70,AL,Anadia,2700201,city,202,1151.32516,0,2,0,0.0099,17545,False,True
27,2020-07-01,75,AL,Arapiraca,2700300,city,3004,1296.24116,0,36,0,0.012,231747,False,True
27,2020-07-01,67,AL,Atalaia,2700409,city,422,894.35202,0,7,0,0.0166,47185,False,True
27,2020-07-01,70,AL,Barra de Santo Antônio,2700508,city,93,583.73086,0,6,0,0.0645,15932,False,True
27,2020-07-01,64,AL,Barra de São Miguel,2700607,city,87,1045.42177,0,3,0,0.0345,8322,False,True
27,2020-07-01,64,AL,Batalha,2700706,city,174,954.36595,0,4,0,0.023,18232,False,True
27,2020-07-01,41,AL,Belém,2700805,city,23,529.46593,0,1,0,0.0435,4344,False,True
27,2020-07-01,35,AL,Belo Monte,2700904,city,13,193.91408,0,0,0,0.0,6704,False,True
27,2020-07-01,78,AL,Boca da Mata,2701001,city,470,1722.81075,0,9,0,0.0191,27281,False,True
27,2020-07-01,64,AL,Branquinha,2701100,city,70,667.04784,0,1,0,0.0143,10494,False,True
27,2020-07-01,54,AL,Cacimbinhas,2701209,city,38,349.97237,0,2,0,0.0526,10858,False,True
27,2020-07-01,53,AL,Cajueiro,2701308,city,129,606.65914,0,7,0,0.0543,21264,False,True
27,2020-07-01,56,AL,Campestre,2701357,city,38,547.86621,0,3,0,0.0789,6936,False,True
27,2020-07-01,62,AL,Campo Alegre,2701407,city,512,897.25391,0,5,0,0.0098,57063,False,True
27,2020-07-01,57,AL,Campo Grande,2701506,city,71,742.83323,0,1,0,0.0141,9558,False,True
27,2020-07-01,55,AL,Canapi,2701605,city,10,56.42704,0,1,0,0.1,17722,False,True
27,2020-07-01,72,AL,Capela,2701704,city,353,2070.01701,0,2,0,0.0057,17053,False,True
27,2020-07-01,48,AL,Carneiros,2701803,city,24,264.28807,0,0,0,0.0,9081,False,True
27,2020-07-01,36,AL,Chã Preta,2701902,city,17,232.52633,0,0,0,0.0,7311,False,True
27,2020-07-01,56,AL,Coité do Nóia,2702009,city,56,523.7071,0,0,0,0.0,10693,False,True
27,2020-07-01,62,AL,Colônia Leopoldina,2702108,city,167,769.65619,0,4,0,0.024,21698,False,True
27,2020-07-01,61,AL,Coqueiro Seco,2702207,city,131,2241.23182,0,5,0,0.0382,5845,False,True
27,2020-07-01,64,AL,Coruripe,2702306,city,711,1248.83635,0,18,0,0.0253,56933,False,True
27,2020-07-01,54,AL,Craíbas,2702355,city,213,879.47479,0,1,0,0.0047,24219,False,True
27,2020-07-01,69,AL,Delmiro Gouveia,2702405,city,238,457.55152,0,5,0,0.021,52016,False,True
27,2020-07-01,47,AL,Dois Riachos,2702504,city,28,252.82167,0,0,0,0.0,11075,False,True
27,2020-07-01,40,AL,Estrela de Alagoas,2702553,city,28,153.8039,0,0,0,0.0,18205,False,True
27,2020-07-01,47,AL,Feira Grande,2702603,city,75,338.35604,0,1,0,0.0133,22166,False,True
27,2020-07-01,43,AL,Feliz Deserto,2702702,city,17,357.59361,0,3,0,0.1765,4754,False,True
27,2020-07-01,55,AL,Flexeiras,2702801,city,130,1016.41908,0,3,0,0.0231,12790,False,True
27,2020-07-01,43,AL,Girau do Ponciano,2702900,city,404,987.36467,0,4,0,0.0099,40917,False,True
27,2020-07-01,74,AL,Ibateguara,2703007,city,84,537.90984,0,6,0,0.0714,15616,False,True
