epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
24,2020-06-10,74,AC,Acrelândia,1200013,city,167,1094.65128,0,2,0,0.012,15256,False,False
24,2020-06-10,41,AC,Assis Brasil,1200054,city,79,1065.12067,10,4,0,0.0506,7417,False,False
24,2020-06-10,33,AC,Brasiléia,1200104,city,176,669.76178,24,5,0,0.0284,26278,False,False
24,2020-06-10,64,AC,Bujari,1200138,city,90,876.6803,2,1,0,0.0111,10266,False,False
24,2020-06-10,34,AC,Capixaba,1200179,city,73,622.17677,0,2,1,0.0274,11733,False,False
24,2020-06-10,59,AC,Cruzeiro do Sul,1200203,city,1630,1844.39214,174,21,0,0.0129,88376,False,False
24,2020-06-10,35,AC,Epitaciolândia,1200252,city,102,554.01662,0,4,1,0.0392,18411,False,False
24,2020-06-10,40,AC,Feijó,1200302,city,57,163.88729,6,1,0,0.0175,34780,False,False
24,2020-06-10,24,AC,Jordão,1200328,city,4,48.09426,0,0,0,0.0,8317,False,False
24,2020-06-10,43,AC,Mâncio Lima,1200336,city,85,447.91063,7,1,0,0.0118,18977,False,False
24,2020-06-10,29,AC,Manoel Urbano,1200344,city,31,327.7302,3,0,0,0.0,9459,False,False
24,2020-06-10,30,AC,Marechal Thaumaturgo,1200351,city,111,588.32883,3,0,0,0.0,18867,False,False
24,2020-06-10,66,AC,Plácido de Castro,1200385,city,211,1067.75973,0,5,0,0.0237,19761,False,False
24,2020-06-10,74,AC,Porto Acre,1200807,city,140,756.59317,1,6,0,0.0429,18504,False,False
24,2020-06-10,29,AC,Porto Walter,1200393,city,2,16.6917,0,0,0,0.0,11982,False,False
24,2020-06-10,86,AC,Rio Branco,1200401,city,4717,1158.06039,14,171,11,0.0363,407319,False,False
24,2020-06-10,30,AC,Rodrigues Alves,1200427,city,38,200.73957,0,3,0,0.0789,18930,False,False
24,2020-06-10,34,AC,Santa Rosa do Purus,1200435,city,70,1070.33639,8,1,0,0.0143,6540,False,False
24,2020-06-10,53,AC,Senador Guiomard,1200450,city,161,699.27033,1,4,0,0.0248,23024,False,False
24,2020-06-10,38,AC,Sena Madureira,1200500,city,274,597.62694,8,2,1,0.0073,45848,False,False
24,2020-06-10,40,AC,Tarauacá,1200609,city,421,989.02906,23,3,0,0.0071,42567,False,False
24,2020-06-10,43,AC,Xapuri,1200708,city,107,553.74424,5,1,0,0.0093,19323,False,False
24,2020-06-10,86,AC,,12,state,8746,991.68306,289,237,14,0.0271,881935,False,False
24,2020-06-10,8,AL,Água Branca,2700102,city,6,29.70885,1,0,0,0.0,20196,False,False
24,2020-06-10,49,AL,Anadia,2700201,city,79,450.27073,2,1,0,0.0127,17545,False,False
24,2020-06-10,54,AL,Arapiraca,2700300,city,965,416.40237,8,22,0,0.0228,231747,False,False
24,2020-06-10,46,AL,Atalaia,2700409,city,284,601.88619,2,5,0,0.0176,47185,False,False
24,2020-06-10,49,AL,Barra de Santo Antônio,2700508,city,47,295.00377,2,4,1,0.0851,15932,False,False
24,2020-06-10,43,AL,Barra de São Miguel,2700607,city,44,528.71906,-1,1,0,0.0227,8322,False,False
24,2020-06-10,43,AL,Batalha,2700706,city,69,378.45546,3,1,0,0.0145,18232,False,False
24,2020-06-10,20,AL,Belém,2700805,city,2,46.04052,0,1,0,0.5,4344,False,False
24,2020-06-10,14,AL,Belo Monte,2700904,city,4,59.66587,0,0,0,0.0,6704,False,False
24,2020-06-10,57,AL,Boca da Mata,2701001,city,150,549.83322,11,2,0,0.0133,27281,False,False
24,2020-06-10,43,AL,Branquinha,2701100,city,12,114.35106,0,0,0,0.0,10494,False,False
24,2020-06-10,33,AL,Cacimbinhas,2701209,city,25,230.24498,0,2,0,0.08,10858,False,False
24,2020-06-10,32,AL,Cajueiro,2701308,city,48,225.73363,0,1,0,0.0208,21264,False,False
24,2020-06-10,35,AL,Campestre,2701357,city,25,360.43829,0,2,0,0.08,6936,False,False
24,2020-06-10,41,AL,Campo Alegre,2701407,city,103,180.50225,47,1,0,0.0097,57063,False,False
24,2020-06-10,36,AL,Campo Grande,2701506,city,31,324.33564,14,1,0,0.0323,9558,False,False
24,2020-06-10,34,AL,Canapi,2701605,city,3,16.92811,0,1,0,0.3333,17722,False,False
24,2020-06-10,51,AL,Capela,2701704,city,187,1096.58125,1,1,0,0.0053,17053,False,False
24,2020-06-10,27,AL,Carneiros,2701803,city,16,176.19205,1,0,0,0.0,9081,False,False
24,2020-06-10,15,AL,Chã Preta,2701902,city,9,123.10217,0,0,0,0.0,7311,False,False
24,2020-06-10,35,AL,Coité do Nóia,2702009,city,14,130.92677,4,0,0,0.0,10693,False,False
24,2020-06-10,41,AL,Colônia Leopoldina,2702108,city,43,198.17495,0,2,0,0.0465,21698,False,False
24,2020-06-10,40,AL,Coqueiro Seco,2702207,city,77,1317.36527,8,2,0,0.026,5845,False,False
24,2020-06-10,43,AL,Coruripe,2702306,city,300,526.93517,-1,9,0,0.03,56933,False,False
24,2020-06-10,33,AL,Craíbas,2702355,city,112,462.44684,0,1,0,0.0089,24219,False,False
24,2020-06-10,48,AL,Delmiro Gouveia,2702405,city,54,103.81421,9,2,0,0.037,52016,False,False
24,2020-06-10,26,AL,Dois Riachos,2702504,city,13,117.38149,0,0,0,0.0,11075,False,False
24,2020-06-10,19,AL,Estrela de Alagoas,2702553,city,10,54.92996,2,0,0,0.0,18205,False,False
24,2020-06-10,26,AL,Feira Grande,2702603,city,35,157.89949,0,0,0,0.0,22166,False,False
24,2020-06-10,22,AL,Feliz Deserto,2702702,city,8,168.27934,-1,2,1,0.25,4754,False,False
24,2020-06-10,34,AL,Flexeiras,2702801,city,58,453.47928,3,1,0,0.0172,12790,False,False
24,2020-06-10,22,AL,Girau do Ponciano,2702900,city,66,161.30215,0,1,0,0.0152,40917,False,False
24,2020-06-10,53,AL,Ibateguara,2703007,city,28,179.30328,16,3,0,0.1071,15616,False,False
24,2020-06-10,31,AL,Igaci,2703106,city,24,93.63661,5,0,0,0.0,25631,False,False
24,2020-06-10,19,AL,Igreja Nova,2703205,city,13,53.06339,2,1,0,0.0769,24499,False,False
24,2020-06-10,74,AL,Importados/Indefinidos,,city,73,,5,5,0,0.0685,,False,False
24,2020-06-10,35,AL,Inhapi,2703304,city,3,16.31765,0,0,0,0.0,18385,False,False
24,2020-06-10,19,AL,Jacaré dos Homens,2703403,city,2,38.07348,0,0,0,0.0,5253,False,False
24,2020-06-10,26,AL,Jacuípe,2703502,city,19,270.61672,2,1,0,0.0526,7021,False,False
24,2020-06-10,32,AL,Japaratinga,2703601,city,46,550.17342,1,1,0,0.0217,8361,False,False
24,2020-06-10,40,AL,Jaramataia,2703700,city,3,51.99307,2,0,0,0.0,5770,False,False
24,2020-06-10,40,AL,Jequiá da Praia,2703759,city,154,1329.8791,16,3,0,0.0195,11580,False,False
24,2020-06-10,41,AL,Joaquim Gomes,2703809,city,64,266.74447,4,5,0,0.0781,23993,False,False
24,2020-06-10,29,AL,Jundiá,2703908,city,5,120.33694,1,2,0,0.4,4155,False,False
24,2020-06-10,43,AL,Junqueiro,2704005,city,205,829.05326,23,3,0,0.0146,24727,False,False
24,2020-06-10,43,AL,Lagoa da Canoa,2704104,city,41,229.66614,1,2,0,0.0488,17852,False,False
24,2020-06-10,49,AL,Limoeiro de Anadia,2704203,city,22,76.82906,1,1,0,0.0455,28635,False,False
24,2020-06-10,95,AL,Maceió,2704302,city,9044,887.58209,346,419,13,0.0463,1018948,False,False
24,2020-06-10,33,AL,Major Isidoro,2704401,city,39,196.92991,0,1,0,0.0256,19804,False,False
24,2020-06-10,48,AL,Maragogi,2704500,city,166,507.58317,3,6,0,0.0361,32704,False,False
24,2020-06-10,31,AL,Maravilha,2704609,city,9,98.22111,0,0,0,0.0,9163,False,False
24,2020-06-10,69,AL,Marechal Deodoro,2704708,city,693,1335.23439,48,13,0,0.0188,51901,False,False
24,2020-06-10,51,AL,Maribondo,2704807,city,44,331.72497,5,1,0,0.0227,13264,False,False
24,2020-06-10,26,AL,Mar Vermelho,2704906,city,8,227.66079,1,0,0,0.0,3514,False,False
24,2020-06-10,21,AL,Mata Grande,2705002,city,0,,0,0,0,0.0,25216,False,False
24,2020-06-10,46,AL,Matriz de Camaragibe,2705101,city,169,685.82096,34,5,0,0.0296,24642,False,False
24,2020-06-10,38,AL,Messias,2705200,city,85,476.03047,24,5,0,0.0588,17856,False,False
24,2020-06-10,20,AL,Minador do Negrão,2705309,city,2,37.53049,0,0,0,0.0,5329,False,False
24,2020-06-10,28,AL,Monteirópolis,2705408,city,18,251.43176,2,0,0,0.0,7159,False,False
24,2020-06-10,53,AL,Murici,2705507,city,153,541.86145,9,5,0,0.0327,28236,False,False
